Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
1,IOT-BASED INTELLIGENT PERCEPTION AND ACCESS OF MANUFACTURING RESOURCE TOWARD CLOUD MANUFACTURING,"Tao, Fei; Zuo, Ying; Xu, Li Da; Zhang, Lin",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,2014,79,0,0,0,0,0,0,0,6,9,64,26.333333333333332
2,RFID-ENABLED REAL-TIME MANUFACTURING EXECUTION SYSTEM FOR MASS-CUSTOMIZATION PRODUCTION,"Zhong, Ray Y.; Dai, Q. Y.; Qu, T.; Hu, G. J.; Huang, George Q.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2013,82,0,0,0,0,0,0,5,18,28,31,20.5
3,IMPLEMENTING SMART FACTORY OF INDUSTRIE 4.0: AN OUTLOOK,"Wang, Shiyong; Wan, Jiafu; Li, Di; Zhang, Chunhua",INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,2016,20,0,0,0,0,0,0,0,0,0,20,20.0
4,SMARTFACTORY-TOWARDS A FACTORY-OF-THINGS,"Zuehlke, Detlef",ANNUAL REVIEWS IN CONTROL,2010,100,0,0,0,1,7,8,20,9,25,30,14.285714285714286
5,TOWARDS SMART FACTORY FOR INDUSTRY 4.0: A SELF-ORGANIZED MULTI-AGENT SYSTEM WITH BIG DATA BASED FEEDBACK AND COORDINATION,"Wang, Shiyong; Wan, Jiafu; Zhang, Daqiang; Li, Di; Zhang, Chunhua",COMPUTER NETWORKS,2016,12,0,0,0,0,0,0,0,0,0,12,12.0
6,REAL-TIME INFORMATION CAPTURING AND INTEGRATION FRAMEWORK OF THE INTERNET OF MANUFACTURING THINGS,"Zhang, Yingfeng; Zhang, Geng; Wang, Junqiang; Sun, Shudong; Si, Shubin; Yang, Teng",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2015,22,0,0,0,0,0,0,0,1,8,13,11.0
7,"SMART MANUFACTURING, MANUFACTURING INTELLIGENCE AND DEMAND-DYNAMIC PERFORMANCE","Davis, Jim; Edgar, Thomas; Porter, James; Bernaden, John; Sarli, Michael",COMPUTERS & CHEMICAL ENGINEERING,2012,54,0,0,0,0,0,0,0,8,19,27,10.8
8,RFID-BASED WIRELESS MANUFACTURING FOR REAL-TIME MANAGEMENT OF JOB SHOP WIP INVENTORIES,"Huang, George Q.; Zhang, Y. F.; Jiang, P. Y.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2008,85,0,0,8,9,10,15,11,8,14,10,9.444444444444445
9,AN AGENT-BASED SERVICE-ORIENTED INTEGRATION ARCHITECTURE FOR COLLABORATIVE INTELLIGENT MANUFACTURING,"Shen, Welming; Hao, Qi; Wang, Shuying; Lia, Yinsheng; Ghenniwa, Hamada",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2007,84,1,14,10,10,11,9,4,4,15,6,8.4
10,A DYNAMIC MODEL AND AN ALGORITHM FOR SHORT-TERM SUPPLY CHAIN SCHEDULING IN THE SMART FACTORY INDUSTRY 4.0,"Ivanov, Dmitry; Dolgui, Alexandre; Sokolov, Boris; Werner, Frank; Ivanova, Marina",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2016,7,0,0,0,0,0,0,0,0,0,7,7.0
